======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: LIN318
  Dimension:     318 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  ------------------------------------------
  0            54033.5768         0.001161    
  1            54045.8215         0.001107    
  2            53590.1399         0.001108    
  3            53671.9930         0.001098    
  4            53678.3019         0.001101    
  5            54310.7176         0.001088    
  6            54108.5325         0.001020    
  7            53139.5028         0.000972    
  8            53488.4782         0.000978    
  9            53620.2565         0.000967    
  10           53570.2296         0.000974    
  11           53370.4410         0.000969    
  12           53523.6143         0.001167    
  13           53519.7619         0.001031    
  14           53866.6480         0.001102    
  15           53104.1409         0.001015    
  16           52939.6817         0.001002    
  17           53081.4522         0.001005    
  18           53393.5092         0.000989    
  19           53279.3885         0.001003    
  20           53479.5670         0.001009    
  21           53494.1870         0.001010    
  22           53707.4363         0.001021    
  23           53429.4494         0.000958    
  24           53022.4455         0.000957    
  25           52971.9658         0.000982    
  26           53379.5482         0.001015    
  27           53658.1698         0.000966    
  28           53818.7367         0.000954    
  29           53716.1900         0.000947    
  30           53709.2609         0.000955    
  31           53671.3547         0.000952    
  32           53669.4372         0.000954    
  33           53449.4536         0.000952    
  34           51090.2935         0.000953    
  35           55092.3909         0.000949    
  36           54984.2375         0.000959    
  37           51615.9671         0.000965    
  38           55100.6784         0.000980    
  39           53189.8942         0.000960    
  40           53495.6174         0.000975    
  41           51457.1082         0.000971    
  42           52648.5197         0.001063    
  43           52709.6394         0.000977    
  44           53152.3238         0.000965    
  45           52378.2142         0.000969    
  46           52745.7779         0.000966    
  47           53018.4383         0.000951    
  48           54037.7809         0.000958    
  49           53034.5053         0.000954    
  50           52981.0277         0.000962    
  51           51459.5673         0.000958    
  52           51370.6109         0.000954    
  53           52091.0243         0.001004    
  54           53061.6768         0.000959    
  55           52194.8400         0.000953    
  56           52567.7703         0.000946    
  57           51726.2689         0.000952    
  58           52422.4015         0.001054    
  59           54120.1128         0.000992    
  60           51825.5621         0.000991    
  61           52046.6535         0.000960    
  62           52053.3068         0.000959    
  63           51652.1368         0.000958    
