======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: PCB442
  Dimension:     442 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  ------------------------------------------
  0            61984.0473         0.001706    
  1            61749.4250         0.001624    
  2            61743.3640         0.001599    
  3            61738.9195         0.001615    
  4            61840.4850         0.001536    
  5            61966.3658         0.001467    
  6            59737.7616         0.001497    
  7            59753.8063         0.001481    
  8            59810.9034         0.001452    
  9            59951.0669         0.001482    
  10           62000.1200         0.001525    
  11           62040.0805         0.001492    
  12           62157.7791         0.001533    
  13           62332.5034         0.001562    
  14           60141.6104         0.001538    
  15           60275.0429         0.001657    
  16           60449.4866         0.001649    
  17           60449.0138         0.001528    
  18           60448.5837         0.001499    
  19           60863.1991         0.001503    
  20           61046.2394         0.001675    
  21           61082.1988         0.001591    
  22           62892.9172         0.001557    
  23           62892.6335         0.001573    
  24           62892.3700         0.001532    
  25           63033.5459         0.001568    
  26           63215.5023         0.001472    
  27           64309.5831         0.001467    
  28           61904.9499         0.001481    
  29           62142.4972         0.001516    
  30           62265.3810         0.001504    
  31           64568.0865         0.001503    
  32           62400.5720         0.001507    
  33           62136.8337         0.001476    
  34           62119.9289         0.001501    
  35           62307.6541         0.001629    
  36           62072.4858         0.001521    
  37           62065.3088         0.001508    
  38           63860.7344         0.001477    
  39           62054.9391         0.001443    
  40           62156.0393         0.001470    
  41           62281.3430         0.001461    
  42           60052.1241         0.001508    
  43           60067.5544         0.001486    
  44           60124.0568         0.001489    
  45           60263.6543         0.001577    
  46           62312.1741         0.001542    
  47           62351.6346         0.001504    
  48           62468.8659         0.001529    
  49           60300.8887         0.001483    
  50           60451.8537         0.001487    
  51           60584.9059         0.001479    
  52           60758.9942         0.001416    
  53           61032.7271         0.001436    
  54           60757.4472         0.001431    
  55           61171.7703         0.001457    
  56           61786.4270         0.001452    
  57           61822.1281         0.001466    
  58           63200.7121         0.001466    
  59           63598.0797         0.001482    
  60           63199.7185         0.001468    
  61           63522.8747         0.001455    
  62           63704.6367         0.001439    
  63           64485.3068         0.001423    
  64           62270.1182         0.001418    
  65           62102.5191         0.001417    
  66           62277.1461         0.001499    
  67           62032.0187         0.001442    
  68           62017.1342         0.001405    
  69           62005.3357         0.001407    
  70           61995.7943         0.001415    
  71           62092.8968         0.001411    
  72           62214.8813         0.001420    
  73           59982.8688         0.001413    
  74           59995.9193         0.001418    
  75           60050.3729         0.001422    
  76           60188.1897         0.001464    
  77           62235.1487         0.001462    
  78           62273.2308         0.001430    
  79           62389.2364         0.001403    
  80           62562.4279         0.001415    
  81           60370.1412         0.001424    
  82           60502.3014         0.001411    
  83           60675.5795         0.001415    
  84           60674.0350         0.001417    
  85           60672.6165         0.001417    
  86           61643.0306         0.001408    
  87           61700.4008         0.001509    
  88           61735.5713         0.001465    
  89           63113.6633         0.001437    
  90           63112.6924         0.001414    
  91           63111.7854         0.001393    
  92           63252.3575         0.001403    
  93           63615.9315         0.001398    
  94           62342.7816         0.001404    
