======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: RAT575
  Dimension:     575 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  ------------------------------------------
  0            8449.3183          0.002249    
  1            8477.1623          0.002065    
  2            8481.2467          0.002044    
  3            8472.4885          0.002089    
  4            8441.1978          0.002155    
  5            8283.8269          0.002146    
  6            8393.6950          0.002080    
  7            8381.7790          0.002033    
  8            8501.1277          0.002016    
  9            8428.8748          0.002004    
  10           8479.0810          0.002010    
  11           8484.1728          0.002027    
  12           8278.8207          0.002082    
  13           8356.1692          0.002065    
  14           8487.8336          0.002100    
  15           8476.6187          0.002045    
  16           8504.9135          0.002023    
  17           8385.9158          0.002020    
  18           8386.0444          0.002002    
  19           8393.0011          0.002057    
  20           8365.6239          0.002043    
  21           8366.2699          0.002184    
  22           8367.2295          0.002106    
  23           8447.4377          0.002085    
  24           8446.2067          0.002041    
  25           8448.4330          0.002029    
  26           8452.3700          0.002050    
  27           8439.4908          0.002041    
  28           8418.6149          0.002163    
  29           8487.0442          0.002069    
  30           8455.8443          0.002038    
  31           8365.7816          0.002026    
  32           8477.8003          0.002042    
  33           8493.3480          0.002095    
  34           8462.3442          0.002049    
  35           8675.7506          0.002143    
  36           8679.3785          0.002023    
  37           8474.2667          0.001993    
  38           8461.8470          0.001970    
  39           8374.3496          0.001977    
  40           8502.3553          0.001976    
  41           8422.3740          0.001983    
  42           8405.2610          0.001982    
  43           8371.3880          0.002095    
  44           8366.2699          0.002080    
  45           8366.2699          0.002116    
  46           8330.3573          0.002112    
  47           8402.2709          0.002174    
  48           8396.7820          0.002126    
  49           8428.0291          0.001997    
  50           8417.2493          0.002005    
  51           8471.4909          0.002036    
  52           8462.0203          0.002072    
  53           8262.4232          0.002068    
  54           8666.0631          0.002037    
  55           8291.1081          0.002049    
  56           8666.9256          0.001985    
  57           8303.4686          0.001974    
  58           8672.4448          0.002008    
  59           8431.2420          0.001962    
  60           8315.2289          0.001983    
  61           8313.8224          0.001979    
  62           8315.2052          0.001974    
  63           8245.3531          0.002018    
  64           8630.1892          0.001984    
  65           8585.7850          0.002029    
  66           8385.5888          0.002009    
  67           8651.3012          0.001996    
  68           8226.4059          0.002009    
  69           8330.3573          0.002005    
  70           8394.5859          0.002001    
  71           8417.4994          0.001993    
  72           8321.9982          0.001990    
  73           8412.5863          0.002004    
  74           8349.5297          0.001973    
  75           8609.1016          0.001990    
  76           8364.9038          0.001970    
  77           8656.0896          0.001996    
  78           8286.1967          0.002055    
  79           8354.4772          0.001982    
  80           8502.2434          0.002046    
  81           8333.7340          0.001984    
  82           8492.9293          0.001969    
  83           8496.8169          0.001968    
  84           8345.6601          0.001967    
  85           8690.2579          0.001968    
  86           8347.9623          0.001968    
  87           8593.0332          0.001968    
  88           8607.9547          0.002124    
  89           8376.6810          0.002021    
  90           8423.6696          0.001997    
  91           8660.4566          0.001988    
  92           8405.5746          0.001974    
  93           8300.0055          0.002021    
  94           8292.8146          0.002006    
  95           8636.8362          0.002049    
  96           8622.1664          0.002034    
  97           8343.9942          0.002018    
  98           8593.0871          0.001999    
  99           8601.2789          0.001988    
  100          8346.4903          0.001975    
  101          8436.9466          0.002013    
  102          8438.5095          0.001984    
  103          8294.7504          0.002064    
  104          8271.6663          0.002049    
  105          8223.7716          0.002056    
  106          8639.2923          0.002081    
  107          8253.3342          0.002120    
  108          8249.4025          0.002022    
  109          8286.9596          0.001983    
  110          8458.0058          0.002021    
  111          8469.5754          0.002001    
  112          8469.4451          0.001984    
  113          8466.1508          0.001976    
  114          8282.9008          0.002009    
  115          8278.9835          0.001996    
  116          8394.9731          0.001990    
  117          8345.2536          0.001984    
  118          8353.6951          0.002152    
  119          8591.6860          0.002011    
  120          8342.5229          0.001982    
  121          8334.8404          0.001969    
  122          8346.5305          0.002025    
  123          8562.7499          0.001980    
  124          8358.3604          0.001967    
  125          8437.0831          0.002020    
  126          8567.1623          0.001982    
  127          8268.9648          0.002002    
  128          8273.3181          0.001992    
  129          8130.3687          0.001981    
  130          8187.2321          0.001968    
  131          8201.6098          0.001978    
  132          8266.9337          0.001990    
  133          8450.3013          0.002042    
  134          8449.5165          0.001998    
  135          8448.0652          0.002011    
  136          8450.0461          0.002001    
  137          8269.1762          0.002031    
  138          8291.7586          0.001985    
  139          8339.3271          0.001988    
  140          8129.5412          0.002043    
  141          8272.5276          0.002050    
  142          8283.3890          0.002015    
  143          8301.0781          0.002006    
  144          8318.7301          0.002055    
  145          8554.4598          0.002091    
  146          8560.4057          0.002079    
  147          8430.1723          0.002058    
  148          8568.2162          0.002017    
  149          8394.3962          0.002012    
  150          8138.1930          0.002006    
  151          8361.3636          0.001996    
  152          8375.8178          0.002112    
  153          8246.9202          0.002036    
  154          8625.0661          0.002008    
  155          8221.9938          0.002045    
  156          8606.9299          0.002026    
  157          8461.3300          0.002012    
  158          8456.7536          0.001977    
  159          8516.9669          0.001976    
  160          8525.2683          0.002017    
  161          8245.3655          0.001978    
  162          8245.8278          0.001982    
  163          8665.7978          0.002129    
