======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: RD400
  Dimension:     400 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  ------------------------------------------
  0            19168.0515         0.001552    
  1            18997.2981         0.001435    
  2            19840.9942         0.001332    
  3            19770.9965         0.001339    
  4            19621.0767         0.001343    
  5            19412.2801         0.001315    
  6            19042.7093         0.001299    
  7            19670.1590         0.001317    
  8            19171.4915         0.001326    
  9            18579.5952         0.001333    
  10           18566.6943         0.001344    
  11           18305.3639         0.001353    
  12           19289.2218         0.001399    
  13           19357.4961         0.001364    
  14           19307.5139         0.001314    
  15           19797.0339         0.001373    
  16           19234.0078         0.001469    
  17           19260.4120         0.001370    
  18           19370.4145         0.001313    
  19           19196.1139         0.001272    
  20           19307.3101         0.001280    
  21           19254.4761         0.001336    
  22           19349.7178         0.001343    
  23           19299.9019         0.001384    
  24           19513.5948         0.001337    
  25           19133.1388         0.001289    
  26           18319.6454         0.001287    
  27           19550.2692         0.001316    
  28           19475.9125         0.001292    
  29           19477.2539         0.001296    
  30           19087.5544         0.001283    
  31           19542.0278         0.001304    
  32           19617.2091         0.001295    
  33           19037.0560         0.001287    
  34           19306.3596         0.001698    
  35           19846.2913         0.001353    
  36           19478.1509         0.001318    
  37           19788.2816         0.001308    
  38           19323.9296         0.001286    
  39           19033.6772         0.001313    
  40           19240.8922         0.001313    
  41           19314.2143         0.001300    
  42           18320.5254         0.001275    
  43           19638.2300         0.001286    
  44           19446.6470         0.001269    
  45           20008.5370         0.001404    
  46           18778.7789         0.001427    
  47           18935.4567         0.001373    
  48           19788.0649         0.001407    
  49           19293.9653         0.001405    
  50           19055.2644         0.001403    
  51           19358.0537         0.001426    
  52           18399.2786         0.001390    
  53           18556.5905         0.001354    
  54           19738.2344         0.001323    
  55           19136.9828         0.001305    
  56           19279.5405         0.001327    
  57           19774.9617         0.001312    
  58           19540.2507         0.001346    
  59           19368.4624         0.001329    
  60           19315.3216         0.001326    
  61           18898.0855         0.001322    
  62           18315.6272         0.001303    
  63           19544.1924         0.001295    
  64           18340.2318         0.001336    
  65           18918.1983         0.001349    
  66           19217.1958         0.001333    
  67           18911.6095         0.001355    
  68           19532.3985         0.001325    
  69           19443.6813         0.001325    
  70           19230.6731         0.001316    
  71           19285.1648         0.001354    
  72           19328.5929         0.001317    
  73           19437.8981         0.001310    
  74           19522.6405         0.001305    
  75           19193.7150         0.001320    
  76           18645.4278         0.001302    
  77           18789.7724         0.001282    
  78           19780.8402         0.001305    
  79           19256.1167         0.001477    
  80           19332.3674         0.001331    
  81           19420.6318         0.001323    
  82           18987.0304         0.001283    
  83           18453.2838         0.001314    
  84           18531.8080         0.001299    
  85           19378.5042         0.001311    
  86           19091.6309         0.001300    
  87           19246.6651         0.001323    
  88           19246.9295         0.001298    
  89           19635.8602         0.001316    
  90           19192.7952         0.001450    
  91           19074.3149         0.001339    
  92           19726.4914         0.001322    
  93           19339.6441         0.001305    
  94           18421.7396         0.001329    
  95           19300.1648         0.001306    
  96           19054.3543         0.001323    
  97           19367.9203         0.001325    
  98           19553.6204         0.001294    
  99           19445.5919         0.001314    
  100          18922.4405         0.001302    
  101          19704.7166         0.001381    
  102          19667.4315         0.001348    
  103          19602.8955         0.001335    
  104          18601.9365         0.001328    
  105          19702.9407         0.001311    
  106          19297.5265         0.001314    
  107          19261.6320         0.001321    
  108          19043.1046         0.001321    
  109          18925.0054         0.001345    
  110          19375.3542         0.001327    
  111          19360.0930         0.001334    
  112          19408.5127         0.001324    
  113          18987.7576         0.001360    
  114          19109.5978         0.001332    
  115          19726.1977         0.001343    
  116          19089.2490         0.001367    
  117          19440.2939         0.001315    
  118          19854.6660         0.001318    
  119          19094.3032         0.001300    
  120          19163.6859         0.001281    
  121          19005.8887         0.001304    
  122          18799.0366         0.001300    
  123          18920.9043         0.001289    
  124          19052.8311         0.001323    
  125          18352.9110         0.001298    
  126          20072.4457         0.001276    
  127          19282.2024         0.001315    
  128          19067.0456         0.001299    
  129          18903.1366         0.001413    
  130          18336.0861         0.001316    
  131          18683.0761         0.001358    
  132          18555.1522         0.001309    
  133          19421.5324         0.001293    
  134          19264.3749         0.001313    
  135          19737.9546         0.001300    
  136          19338.8723         0.001526    
  137          18827.6750         0.001381    
  138          19025.0349         0.001344    
  139          18947.3332         0.001349    
  140          19018.5968         0.001307    
  141          19398.7267         0.001300    
  142          19342.6373         0.001303    
  143          18935.0598         0.001288    
  144          19089.1016         0.001270    
  145          19071.1066         0.001256    
  146          19613.8267         0.001262    
  147          18931.2829         0.001520    
  148          19204.4519         0.001357    
  149          19305.5174         0.001298    
  150          18776.9722         0.001262    
  151          19262.0939         0.001249    
  152          20081.6680         0.001270    
  153          19213.4941         0.001301    
  154          19272.4903         0.001317    
  155          18480.5339         0.001318    
  156          19531.9423         0.001293    
  157          18893.5190         0.001310    
  158          18458.8869         0.001351    
  159          19053.4542         0.001335    
  160          19455.8142         0.001316    
  161          18815.7944         0.001304    
  162          19397.9620         0.001295    
  163          19227.5396         0.001281    
  164          18964.6899         0.001283    
  165          19416.7674         0.001298    
  166          19084.4819         0.001312    
  167          19735.0913         0.001343    
  168          19382.7488         0.001331    
  169          18627.5794         0.001325    
  170          19597.8760         0.001352    
  171          19435.7957         0.001329    
  172          19249.0217         0.001360    
  173          18357.6698         0.001349    
  174          19060.7668         0.001349    
  175          19641.8507         0.001342    
  176          19252.5890         0.001327    
  177          19325.2061         0.001330    
  178          19295.1396         0.001334    
  179          19252.8936         0.001335    
  180          19270.1854         0.001326    
  181          19317.4828         0.001408    
  182          19389.3823         0.001303    
  183          18962.0909         0.001315    
  184          18910.5177         0.001436    
  185          19238.4824         0.001352    
