======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: U574
  Dimension:     574 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  ------------------------------------------
  0            46881.8665         0.003103    
  1            46910.4548         0.002679    
  2            46940.0284         0.004050    
  3            46999.3869         0.004126    
  4            47335.5677         0.003416    
  5            47355.4385         0.002439    
  6            47251.5008         0.002609    
  7            47186.2671         0.004078    
  8            47143.0958         0.003495    
  9            47117.9811         0.002437    
  10           46546.4893         0.002392    
  11           49034.7705         0.002435    
  12           47535.2858         0.002443    
  13           46886.5992         0.002329    
  14           46637.3663         0.002264    
  15           46736.6401         0.002227    
  16           46416.9868         0.002187    
  17           48469.9569         0.002408    
  18           48465.8284         0.002373    
  19           48533.7270         0.002386    
  20           46759.4359         0.002372    
  21           49279.7772         0.002315    
  22           47283.6312         0.002268    
  23           48415.6580         0.002256    
  24           49230.8260         0.002458    
  25           48531.5821         0.002321    
  26           49260.8009         0.002375    
  27           47621.6747         0.002241    
  28           50858.0211         0.002420    
  29           46247.2468         0.002361    
  30           47078.2392         0.002337    
  31           48765.3105         0.002268    
  32           48796.4395         0.002292    
  33           49481.7171         0.002357    
  34           49481.8690         0.002330    
  35           46876.8551         0.002390    
  36           46869.1767         0.002372    
  37           46891.3207         0.002365    
  38           46936.6274         0.002306    
  39           46950.2992         0.002380    
  40           46886.6620         0.002326    
  41           46951.9814         0.002308    
  42           46942.1642         0.002279    
  43           46947.7555         0.002271    
  44           47018.0390         0.002270    
  45           47186.6530         0.002293    
  46           46983.9702         0.003241    
  47           47212.1832         0.002447    
  48           46996.4530         0.002430    
  49           46999.6082         0.002541    
  50           47296.8762         0.002418    
  51           47326.2273         0.002399    
  52           46852.5916         0.002487    
  53           47205.7745         0.002319    
  54           48820.4023         0.002327    
  55           46986.5240         0.002313    
  56           46772.2220         0.002299    
  57           46589.8965         0.002299    
  58           49220.0631         0.002326    
  59           49124.6298         0.002385    
  60           48694.9289         0.002399    
  61           49018.3499         0.002363    
  62           48699.8633         0.002337    
  63           47118.8940         0.002322    
  64           47110.2908         0.002272    
  65           47039.9511         0.002320    
  66           46948.0814         0.002352    
  67           46911.0374         0.002384    
  68           46875.4453         0.002398    
  69           47791.7502         0.002317    
  70           48829.1368         0.002345    
  71           46901.3731         0.002329    
  72           48901.5374         0.002405    
  73           48892.4539         0.002329    
  74           48626.8041         0.002432    
  75           49112.9123         0.002403    
  76           49063.5264         0.002407    
  77           48582.6068         0.002372    
  78           46490.7430         0.002400    
  79           46671.3761         0.002410    
  80           47087.8538         0.002465    
  81           49277.2885         0.002427    
  82           48157.6387         0.002409    
  83           48110.8711         0.002355    
  84           47152.2427         0.002310    
  85           47054.6865         0.002366    
  86           50111.6047         0.002360    
  87           47807.3889         0.002334    
  88           50962.9886         0.002343    
  89           51465.6608         0.002339    
  90           51164.8865         0.002284    
  91           51148.1648         0.002410    
  92           50819.0766         0.002480    
  93           51104.5025         0.002340    
  94           46630.2769         0.002320    
  95           50532.7284         0.002354    
  96           48858.6281         0.002327    
  97           48881.6137         0.002328    
  98           46501.7995         0.002308    
  99           50792.3819         0.002295    
  100          50802.4031         0.002348    
  101          46493.1697         0.002281    
  102          46534.4406         0.002343    
  103          46584.5812         0.002313    
  104          46851.8932         0.002347    
  105          49342.8026         0.002325    
  106          46854.6674         0.002287    
  107          46897.7208         0.002272    
  108          48901.6261         0.002404    
  109          46936.3996         0.002326    
  110          48546.2997         0.002298    
  111          46989.5188         0.002277    
  112          48461.5469         0.002246    
  113          48922.6253         0.002256    
  114          48880.9335         0.003029    
  115          48916.3817         0.002550    
  116          48917.6863         0.002401    
  117          48885.5768         0.002337    
  118          48913.0805         0.002361    
  119          48475.1657         0.002270    
  120          46663.3925         0.002411    
  121          46623.7593         0.002412    
  122          48831.5029         0.002317    
  123          47818.2301         0.002448    
  124          47701.5170         0.002436    
  125          47669.3916         0.003210    
  126          49220.3834         0.002397    
  127          48749.9209         0.002399    
  128          48739.8975         0.002345    
  129          48675.5704         0.002546    
  130          47544.3099         0.002513    
  131          47511.9512         0.002380    
  132          47500.7465         0.002504    
  133          47626.8397         0.002361    
  134          48703.6334         0.002346    
  135          48716.9865         0.002503    
  136          48600.9670         0.002332    
  137          47374.1774         0.002376    
  138          47336.0753         0.002339    
  139          46398.8646         0.002400    
  140          46361.1229         0.002674    
  141          46690.2676         0.002519    
  142          46459.8604         0.002380    
  143          46568.9894         0.002495    
  144          46720.6005         0.002415    
  145          47387.5196         0.002382    
  146          48039.5081         0.002495    
  147          48039.7394         0.002325    
  148          47306.4306         0.002342    
  149          47262.4043         0.002352    
  150          47236.1038         0.002351    
  151          47263.2655         0.002338    
  152          48071.1478         0.002333    
  153          46794.3358         0.002407    
  154          47268.8516         0.002351    
  155          47877.8403         0.002335    
  156          46818.8254         0.002277    
  157          46869.0392         0.002254    
  158          46662.2473         0.002354    
  159          46692.8066         0.002235    
  160          46782.2823         0.002228    
  161          46851.0173         0.002219    
  162          46863.0962         0.002230    
  163          46697.0307         0.002280    
  164          49219.0332         0.002291    
  165          46354.2331         0.002312    
  166          47068.1509         0.002267    
  167          47222.3315         0.002278    
  168          47041.3957         0.002243    
  169          47052.8269         0.002246    
  170          46435.0453         0.002287    
  171          47508.2997         0.002384    
  172          47407.4063         0.002327    
  173          47408.2439         0.002299    
  174          46919.2072         0.002361    
  175          46328.1852         0.002284    
  176          46278.5592         0.002370    
  177          46544.5638         0.002304    
  178          46612.9652         0.002421    
  179          46593.0203         0.002349    
  180          46778.6013         0.002359    
  181          46611.9640         0.002394    
  182          46599.1191         0.002311    
  183          46736.6183         0.002334    
  184          46729.1309         0.002314    
  185          46747.5673         0.002352    
  186          46762.4115         0.002319    
  187          46707.0667         0.002318    
  188          47169.7173         0.002320    
  189          47440.0319         0.002288    
  190          47446.8491         0.002287    
  191          47309.5104         0.002372    
  192          47440.6556         0.002335    
  193          47500.2309         0.002329    
  194          47518.1803         0.002301    
  195          47535.4158         0.002273    
  196          46500.3958         0.002301    
  197          47546.1025         0.002281    
  198          47024.7409         0.002537    
  199          47600.5368         0.002679    
  200          47021.1278         0.002558    
  201          47007.1377         0.002457    
  202          46839.5661         0.002332    
  203          46598.6611         0.002298    
  204          45495.8611         0.002336    
  205          45502.3817         0.002237    
  206          47045.5986         0.002222    
  207          46823.8133         0.002215    
  208          46332.8683         0.002241    
  209          47791.4394         0.002225    
  210          46878.0663         0.002195    
  211          47444.2529         0.002275    
  212          47934.4217         0.002227    
  213          47924.6506         0.002231    
  214          47533.9122         0.002237    
  215          47068.6553         0.002258    
  216          48130.3169         0.002323    
  217          47136.9984         0.002274    
  218          47243.1923         0.002262    
  219          46743.7030         0.002318    
  220          47377.4278         0.002253    
  221          47375.1302         0.002215    
  222          47276.6058         0.002281    
  223          48373.1886         0.002356    
  224          47238.3117         0.002280    
  225          46812.3580         0.002277    
  226          47288.1728         0.002261    
  227          47339.2819         0.002276    
  228          47187.4023         0.002286    
  229          47184.1138         0.002280    
