iteration,cost,best_cost,temperature
0,596033.310210955,596033.310210955,1000.0
1000,393256.7109323157,393256.7109323157,904.8328935585558
2000,374651.22490639205,373653.5650307215,818.7225652655508
3000,343013.6790831627,341173.26982973097,740.8071077509111
4000,340284.66288464237,328800.84276655037,670.3066388750021
5000,317867.1896203312,315871.1064087899,606.5154956247785
6000,312130.7742732666,307845.9251091635,548.7951708942697
7000,297808.4966463035,289712.9010980616,496.5679224512253
8000,272847.6824023449,272346.49253889197,449.31099011990324
9000,262179.28037772246,260631.96532445578,406.5513632978523
10000,249179.30684438947,249179.30684438947,367.86104643297176
11000,233811.32285394816,233811.32285394816,332.852775071424
12000,218699.42883238645,218699.42883238645,301.1761395968712
13000,211148.73763959526,210382.08157570893,272.5140778622327
14000,199905.12430215554,199831.98954524836,246.57970160752615
15000,188025.9259328581,188025.9259328581,223.1134248983432
16000,177250.76898714365,177250.76898714365,201.88036584252703
17000,176412.75703709826,175536.51677383555,182.66799557795315
18000,171883.84312160837,171746.09956571582,165.28401099934075
19000,167985.44411556202,167985.44411556202,149.55440993149793
20000,165998.26410810676,164922.74410101672,135.3217494827602
21000,159344.75736616546,159149.96475735685,122.44357014589231
22000,148978.13098215815,148822.59284132093,110.79096987274771
23000,145534.98744106968,145518.03802853473,100.24731385011708
24000,136233.52023107148,136233.52023107148,90.7070670624743
25000,131677.35537086503,131677.35537086503,82.07473795634847
26000,130449.33835803802,130449.33835803802,74.26392263310308
27000,126131.11621127461,126131.11621127461,67.19644000311935
28000,119807.31318269594,119807.31318269594,60.80154924485639
29000,116093.6299621007,116093.6299621007,55.01524173606638
30000,114399.17989224455,114335.39071785183,49.779600369868334
31000,113079.62187054107,113079.62187054107,45.042219842856525
32000,109865.68442358129,109865.68442358129,40.75568211271255
33000,106671.73090277356,106671.73090277356,36.87708177499827
34000,105683.35814107693,105683.35814107693,33.367596608467295
35000,103770.35667357044,103770.35667357044,30.19209899033412
36000,103457.87850931546,103457.87850931546,27.318804292030418
37000,101839.2755173377,101839.2755173377,24.718952736117746
38000,99669.60703193108,99669.60703193108,22.366521529958565
39000,97724.42118786703,97724.42118786703,20.237964394792158
40000,97334.53163753042,97310.8889177453,18.311975883074872
41000,96375.7820794473,96375.7820794473,16.56927812505715
42000,96064.51138810326,96062.81732101194,14.99242787007195
43000,95717.6865113072,95717.6865113072,13.565641891145154
44000,95228.75668942356,95228.75668942356,12.274639005344051
45000,94401.53083741307,94398.92454358199,11.106497128592189
46000,91616.78588239796,91616.78588239796,10.04952393416387
47000,90438.04259654923,90438.04259654923,9.093139820235486
48000,88834.19355205273,88834.19355205273,8.227772015076217
49000,88411.37129008111,88411.37129008111,7.444758759941527
