iteration,cost,best_cost,temperature
0,781387.18631973,781387.18631973,1000.0
1000,583906.5187680951,580077.297438367,904.8328935585558
2000,519561.6137328668,519283.95945740724,818.7225652655508
3000,476843.21734038624,475562.1663364363,740.8071077509111
4000,468809.9922213164,457789.6013020752,670.3066388750021
5000,441234.4892331446,439532.79477077216,606.5154956247785
6000,410288.6203976658,410288.6203976658,548.7951708942697
7000,391422.8770084817,389090.62705211726,496.5679224512253
8000,372927.0779249901,368473.18500992947,449.31099011990324
9000,359909.11545998603,357812.5871439421,406.5513632978523
10000,342592.4556695064,342453.235828646,367.86104643297176
11000,330189.0020049598,330189.0020049598,332.852775071424
12000,320583.95228540525,319594.3101877787,301.1761395968712
13000,304449.03413105826,304449.03413105826,272.5140778622327
14000,289508.2475770343,289508.2475770343,246.57970160752615
15000,284493.50658972445,284493.50658972445,223.1134248983432
16000,277155.5908360552,277155.5908360552,201.88036584252703
17000,268411.34695763286,268268.6630434465,182.66799557795315
18000,262779.80290168384,262779.80290168384,165.28401099934075
19000,250112.1314674147,249517.62389515399,149.55440993149793
20000,244820.74765243236,244820.74765243236,135.3217494827602
21000,239435.77134876535,239435.77134876535,122.44357014589231
22000,234037.95198678414,233921.4740535642,110.79096987274771
23000,227523.37654090323,227503.50670752596,100.24731385011708
24000,223741.5571509992,223508.43309675233,90.7070670624743
25000,216708.24499862123,216708.24499862123,82.07473795634847
26000,213008.8825805621,212974.83324945078,74.26392263310308
27000,208303.2216456146,208270.80480043928,67.19644000311935
28000,199356.16975141317,199356.16975141317,60.80154924485639
29000,196115.59966424084,196115.59966424084,55.01524173606638
30000,191862.22977547185,191862.22977547185,49.779600369868334
31000,185499.32513561164,185499.32513561164,45.042219842856525
32000,182366.9812094255,182338.04028228082,40.75568211271255
33000,179650.80227873774,179650.80227873774,36.87708177499827
34000,178575.21532285525,178575.21532285525,33.367596608467295
35000,173928.02919041025,173928.02919041025,30.19209899033412
36000,171581.172657591,171581.172657591,27.318804292030418
37000,168610.4104175755,168610.4104175755,24.718952736117746
38000,165943.1374776997,165943.1374776997,22.366521529958565
39000,164608.46642160974,164552.2954156876,20.237964394792158
40000,163881.1642249584,163881.1642249584,18.311975883074872
41000,161511.83559155205,161511.83559155205,16.56927812505715
42000,157535.82545062152,157535.82545062152,14.99242787007195
43000,154533.8098688532,154533.8098688532,13.565641891145154
44000,152227.60230244652,152227.60230244652,12.274639005344051
45000,149567.845842394,149567.845842394,11.106497128592189
46000,145712.0347168002,145712.0347168002,10.04952393416387
47000,143709.2358067488,143709.2358067488,9.093139820235486
48000,141050.06114061398,141047.6373331904,8.227772015076217
49000,140298.15300324664,140298.15300324664,7.444758759941527
