iteration,cost,best_cost,temperature
0,111961.42376263964,111961.42376263964,1000.0
1000,107629.68165482047,105503.05331107971,904.8328935585558
2000,107484.30350371993,100669.14614340669,818.7225652655508
3000,107461.61823947559,100669.14614340669,740.8071077509111
4000,107474.65616725007,100669.14614340669,670.3066388750021
5000,107534.08038407775,100669.14614340669,606.5154956247785
6000,104765.72791779097,100669.14614340669,548.7951708942697
7000,100634.38197577707,99540.11393463776,496.5679224512253
8000,103590.8253999995,99540.11393463776,449.31099011990324
9000,102831.63640486906,99540.11393463776,406.5513632978523
10000,100640.18935328216,96946.31948733263,367.86104643297176
11000,99473.46880647543,96946.31948733263,332.852775071424
12000,96881.98239669652,96308.93350469507,301.1761395968712
13000,95541.08286736347,95538.71334453215,272.5140778622327
14000,91063.79623197141,90596.81562060042,246.57970160752615
15000,90178.87493728724,90035.4859982933,223.1134248983432
16000,88782.42002529616,86069.88935357216,201.88036584252703
17000,84293.8643208622,84293.8643208622,182.66799557795315
18000,78282.48365389617,78209.43799116099,165.28401099934075
19000,82268.43103107566,78135.76992068494,149.55440993149793
20000,80994.6856762332,78135.76992068494,135.3217494827602
21000,79953.66057509379,78135.76992068494,122.44357014589231
22000,75893.82826896409,75200.88215982953,110.79096987274771
23000,70455.03179596362,70447.64603387413,100.24731385011708
24000,69886.28572296607,68933.06306931912,90.7070670624743
25000,67593.48428716397,66740.08035238579,82.07473795634847
26000,64296.56599759559,64111.48303762768,74.26392263310308
27000,61032.26061834862,60943.960267288814,67.19644000311935
28000,57096.488958696864,57096.488958696864,60.80154924485639
29000,55435.927483794265,55268.82875621304,55.01524173606638
30000,54577.19998740729,54260.29371163612,49.779600369868334
31000,53678.45214980088,53678.45214980088,45.042219842856525
32000,51829.21833268137,51826.69665095377,40.75568211271255
33000,49170.93864040804,49024.41254341103,36.87708177499827
34000,46084.00637045388,46084.00637045388,33.367596608467295
35000,43093.00529662449,43093.00529662449,30.19209899033412
36000,41726.07020795848,41706.602940225115,27.318804292030418
37000,40366.77129126116,40209.179226895445,24.718952736117746
38000,38260.88521070029,38238.971279426085,22.366521529958565
39000,37449.88324015445,37438.796062249865,20.237964394792158
40000,36324.50272876506,36324.50272876506,18.311975883074872
41000,35105.2982914419,35105.2982914419,16.56927812505715
42000,34011.11287440844,33983.84478296657,14.99242787007195
43000,33244.73529052778,33244.73529052778,13.565641891145154
44000,32510.510396742353,32510.510396742353,12.274639005344051
45000,31531.329249115464,31531.329249115464,11.106497128592189
46000,31126.9235204202,31126.9235204202,10.04952393416387
47000,30499.99912996936,30499.99912996936,9.093139820235486
48000,29737.12583869927,29737.12583869927,8.227772015076217
49000,29092.731924407257,29092.731924407257,7.444758759941527
