iteration,cost,best_cost,temperature
0,210639.4727946787,210639.4727946787,1000.0
1000,183351.2225362404,182822.7123457149,904.8328935585558
2000,185796.00130827012,181150.8998513433,818.7225652655508
3000,182601.64012340893,178874.91097550318,740.8071077509111
4000,182506.7148391755,175956.86920603053,670.3066388750021
5000,189285.86520549702,175774.29898084488,606.5154956247785
6000,168750.14169992646,168750.14169992646,548.7951708942697
7000,176740.82026607348,164941.2591121043,496.5679224512253
8000,177862.18296394162,164941.2591121043,449.31099011990324
9000,167855.65138769906,164227.18129462458,406.5513632978523
10000,155001.31426834723,150762.43483537243,367.86104643297176
11000,148437.40353912723,146423.98186891864,332.852775071424
12000,147795.33743476178,143444.93858791335,301.1761395968712
13000,144687.88639235872,141886.52212412737,272.5140778622327
14000,147782.39716386035,141886.52212412737,246.57970160752615
15000,130116.54136721508,129072.03426837781,223.1134248983432
16000,128940.47307194733,126448.54163651311,201.88036584252703
17000,124656.43482689788,123243.27985314305,182.66799557795315
18000,120082.79002227084,119052.29071622454,165.28401099934075
19000,115812.49409636983,115254.6388479189,149.55440993149793
20000,110889.90824462396,110863.4015442596,135.3217494827602
21000,101837.88358900505,101837.88358900505,122.44357014589231
22000,96424.20018993787,96208.039535035,110.79096987274771
23000,92104.57842373637,91902.52346375554,100.24731385011708
24000,91463.36968891989,91304.386256011,90.7070670624743
25000,86561.41506190723,86546.335522991,82.07473795634847
26000,81574.62265760818,81574.62265760818,74.26392263310308
27000,77032.27013601101,77032.27013601101,67.19644000311935
28000,72554.38703553646,72511.26349284488,60.80154924485639
29000,70925.10653233883,70925.10653233883,55.01524173606638
30000,68780.6996241574,68728.73255529054,49.779600369868334
31000,66946.39673678658,66946.39673678658,45.042219842856525
32000,65208.215146711744,65172.90470937146,40.75568211271255
33000,63683.54169340847,63683.54169340847,36.87708177499827
34000,61692.62212968622,61574.78054440271,33.367596608467295
35000,59706.16004017335,59706.16004017335,30.19209899033412
36000,58420.89890380699,58420.89890380699,27.318804292030418
37000,57722.65502392707,57715.749171304116,24.718952736117746
38000,56932.88564436462,56932.88564436462,22.366521529958565
39000,55249.50143087951,55249.50143087951,20.237964394792158
40000,53852.942767007145,53840.210701836564,18.311975883074872
41000,52697.67337752748,52697.67337752748,16.56927812505715
42000,51326.80280087615,51326.80280087615,14.99242787007195
43000,50124.55182318664,50114.19608985699,13.565641891145154
44000,48711.67471694702,48711.67471694702,12.274639005344051
45000,47577.52337812529,47577.52337812529,11.106497128592189
46000,47054.91786591921,47054.91786591921,10.04952393416387
47000,46759.87717823524,46759.87717823524,9.093139820235486
48000,45972.776913537135,45972.776913537135,8.227772015076217
49000,45547.20039254073,45547.20039254073,7.444758759941527
