iteration,cost,best_cost,temperature
0,670914.8852900208,670914.8852900208,1000.0
1000,536062.0280077192,532623.5061125328,904.8328935585558
2000,499793.30060316867,499546.3254744581,818.7225652655508
3000,497238.73179597035,484616.6017709019,740.8071077509111
4000,466049.8280470044,461065.1114091611,670.3066388750021
5000,435620.870526768,435620.870526768,606.5154956247785
6000,434153.15187309706,430755.6142860231,548.7951708942697
7000,405866.75795773277,405352.97081487067,496.5679224512253
8000,388705.439391472,385681.32358465984,449.31099011990324
9000,390879.40416546934,385681.32358465984,406.5513632978523
10000,360357.1703274513,360301.7694811503,367.86104643297176
11000,351549.9565370042,351166.87467132765,332.852775071424
12000,331566.9315411695,331075.6305130667,301.1761395968712
13000,327283.9683902951,327239.81864620815,272.5140778622327
14000,311728.25374937523,309719.67473263235,246.57970160752615
15000,301050.4292106168,300499.5640644371,223.1134248983432
16000,283397.56877354067,283328.0163170637,201.88036584252703
17000,275177.3393750427,274581.6202038608,182.66799557795315
18000,261268.73699566541,261098.85837355503,165.28401099934075
19000,253861.2986991916,252529.6378639714,149.55440993149793
20000,247024.641939747,246879.15714761277,135.3217494827602
21000,238216.18182951154,238046.1066042895,122.44357014589231
22000,232655.29517052122,232655.29517052122,110.79096987274771
23000,225096.78897109916,225010.82488363405,100.24731385011708
24000,219982.3936313012,219711.9943370267,90.7070670624743
25000,215428.93674283035,214780.7127144671,82.07473795634847
26000,206271.51461237104,206271.51461237104,74.26392263310308
27000,196867.96894329015,196867.96894329015,67.19644000311935
28000,192298.14940630784,192298.14940630784,60.80154924485639
29000,187901.1478776284,187901.1478776284,55.01524173606638
30000,185928.11240090843,185692.4201754966,49.779600369868334
31000,181341.57342629158,181341.57342629158,45.042219842856525
32000,179355.05348466104,179269.96859122667,40.75568211271255
33000,175465.52598098805,175465.52598098805,36.87708177499827
34000,173499.02434359732,173499.02434359732,33.367596608467295
35000,170401.83550066414,170394.18365477328,30.19209899033412
36000,167538.18985762686,167538.18985762686,27.318804292030418
37000,164931.70559880565,164921.0226760189,24.718952736117746
38000,163220.0413476309,163220.0413476309,22.366521529958565
39000,158120.70011732314,158120.70011732314,20.237964394792158
40000,156100.65617246996,156100.65617246996,18.311975883074872
41000,153622.5463962147,153622.5463962147,16.56927812505715
42000,152431.54972012155,152431.54972012155,14.99242787007195
43000,150554.4716132454,150554.4716132454,13.565641891145154
44000,148369.0977891815,148369.0977891815,12.274639005344051
45000,147204.82044039218,147202.30454236892,11.106497128592189
46000,143735.6602551798,143735.6602551798,10.04952393416387
47000,141576.55265211346,141576.55265211346,9.093139820235486
48000,140121.65058848826,140121.65058848826,8.227772015076217
49000,138940.09373823943,138940.09373823943,7.444758759941527
